,tweet_id,tweetText,polarity_value,polarity_type,topic,set
2,ID:142391947707940864,@marodriguezb Gracias MAR,P,AGREEMENT,otros,train
3,ID:142416095012339712,"Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)",N,AGREEMENT,política,train
4,ID:142422495721562112,Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,P,AGREEMENT,otros,train
6,ID:142483342040907776,Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!,P,AGREEMENT,entretenimiento,train
8,ID:142494476051562496,Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.,P,AGREEMENT,otros,train
9,ID:142496796416016384,Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb,P,AGREEMENT,política,train
10,ID:142497735814287360,Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,P,AGREEMENT,entretenimiento,train
11,ID:142499355360903168,"Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?",P,AGREEMENT,economía,train
12,ID:142504935853006848,#programascambiados caca d ajuste,N,AGREEMENT,entretenimiento,train
13,ID:142507006832553984,Buen viernes,P,AGREEMENT,otros,train
14,ID:142509609565962240,“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;),P,AGREEMENT,entretenimiento,train
17,ID:142513785154969600,La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija,P,AGREEMENT,política,train
18,ID:142517740517867520,¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG,P,AGREEMENT,política,train
19,ID:142521019171749888,abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ,N,AGREEMENT,economía,train
20,ID:142521249246097408,"abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB",N,AGREEMENT,política,train
21,ID:142521301054140416,La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas,N,AGREEMENT,política,train
22,ID:142536698188931072,Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE,N,AGREEMENT,política,train
23,ID:142539660835557376,Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad,N,AGREEMENT,otros,train
24,ID:142545185308540928,"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by",P,AGREEMENT,literatura,train
25,ID:142545757445173248,"#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.",N,AGREEMENT,otros,train
